Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre
1964,Onibaba,14.253,255,Blockbuster,Drama
1986,Fist of the North Star,14.252,104,Well_Received,Action
1986,Fist of the North Star,14.252,104,Well_Received,Animation
1986,Fist of the North Star,14.252,104,Well_Received,Drama
1986,Fist of the North Star,14.252,104,Well_Received,Science Fiction
1986,Fist of the North Star,14.252,104,Well_Received,Thriller
1958,Elevator to the Gallows,14.251,403,Blockbuster,Crime
1958,Elevator to the Gallows,14.251,403,Blockbuster,Drama
1958,Elevator to the Gallows,14.251,403,Blockbuster,Thriller
2019,Sweet Family,14.249,100,Blockbuster,Comedy
1995,Victim of Desire,14.248,7,Low_Rated,Crime
1995,Victim of Desire,14.248,7,Low_Rated,Drama
1995,Victim of Desire,14.248,7,Low_Rated,Thriller
2007,The Invisible,14.247,426,Average_Performer,Fantasy
2007,The Invisible,14.247,426,Average_Performer,Thriller
2018,Calibre,14.245,491,Average_Performer,Horror
2018,Calibre,14.245,491,Average_Performer,Thriller
1995,Total Eclipse,14.245,402,Average_Performer,Romance
1995,Total Eclipse,14.245,402,Average_Performer,Drama
1985,D.A.R.Y.L.,14.245,221,Average_Performer,Family
1985,D.A.R.Y.L.,14.245,221,Average_Performer,Science Fiction
2018,Super Crazy,14.243,147,Average_Performer,Comedy
2002,Sympathy for Mr. Vengeance,14.243,1003,Blockbuster,Action
2002,Sympathy for Mr. Vengeance,14.243,1003,Blockbuster,Drama
2002,Sympathy for Mr. Vengeance,14.243,1003,Blockbuster,Thriller
2012,The Apparition,14.242,341,Low_Rated,Horror
2012,The Apparition,14.242,341,Low_Rated,Thriller
2004,If Only,14.242,441,Well_Received,Fantasy
2004,If Only,14.242,441,Well_Received,Drama
2004,If Only,14.242,441,Well_Received,Romance
1998,Urban Legend,14.24,983,Low_Rated,Horror
1998,Urban Legend,14.24,983,Low_Rated,Thriller
1978,Revenge of the Pink Panther,14.24,306,Well_Received,Action
1978,Revenge of the Pink Panther,14.24,306,Well_Received,Comedy
1978,Revenge of the Pink Panther,14.24,306,Well_Received,Crime
1978,Revenge of the Pink Panther,14.24,306,Well_Received,Thriller
1994,Star Trek: Generations,14.24,1001,Average_Performer,Science Fiction
1994,Star Trek: Generations,14.24,1001,Average_Performer,Action
1994,Star Trek: Generations,14.24,1001,Average_Performer,Adventure
1994,Star Trek: Generations,14.24,1001,Average_Performer,Thriller
1949,Late Spring,14.237,267,Blockbuster,Drama
2016,Salt and Fire,14.234,63,Low_Rated,Drama
2016,Salt and Fire,14.234,63,Low_Rated,Thriller
2016,Tramps,14.232,182,Average_Performer,Comedy
2016,Tramps,14.232,182,Average_Performer,Romance
2016,Urge,14.231,188,Low_Rated,Thriller
2016,Urge,14.231,188,Low_Rated,Mystery
1981,The Cannonball Run,14.231,457,Average_Performer,Action
1981,The Cannonball Run,14.231,457,Average_Performer,Comedy
2012,Inazuma Eleven Go vs. Danball Senki W,14.228,4,Average_Performer,Action
2012,Inazuma Eleven Go vs. Danball Senki W,14.228,4,Average_Performer,Adventure
